word,wikiID
surprise,Q180210
spokeswoman,Q17221
held,Q2715849
regularly,Q408620
scheduled,Q7271585
discussing,Q179875
announcement,Q16252522
statement,Q1456029
ready,Q1218879
unable,Q287354
say,Q406865
contact,Q394963
officials,Q599151
think,Q9420
resist,Q7315582
schlang,-1
analyst,Q5669212
ball,Q18545
like,Q3249878
attack,Q343634
pointed,-1
difficult,Q2257515
offers,Q2085877
try,Q407077
find,Q535119
white,Q23444
knight,Q102083
want,Q26256512
acquired,-1
snyder,Q253980
companies,Q783794
l,Q9927
p,Q9946
interested,Q3153794
customers,Q852835
largest,Q1805910
u,Q9747
involved,Q16797811
application,Q294834
removal,Q7312191
customer,Q852835
base,Q575724
another,Q4770197
wants,Q26256512
residential,Q674950
commercial,Q4399563
distribution,Q225802
system,Q58778
noted,Q554198
high,Q397088
mid,Q226756
rate,Q346589
slowed,-1
concentrated,Q5158310
earned,Q5326939
full,Q237107
thousands,Q43016
individual,Q795052
lawn,Q207766
garden,Q1107656
care,Q969439
anti,Q346504
inflation,Q35865
anniversary,Q1062856
initially,-1
home,Q7743
abroad,-1
towards,-1
amid,Q83387
prices,Q160151
widespread,-1
shortages,Q1337691
foreign,Q5468197
payments,Q1148747
crisis,Q381072
february,Q109
fixed,Q8563511
value,Q5189153
currency,Q8142
ended,-1
halt,Q1292638
country,Q6256
within,Q1205249
collapsed,Q607168
situation,Q342306
worse,-1
although,-1
worked,Q188561
leading,Q1968967
bank,Q22687
economist,Q188094
accompanied,-1
dramatic,Q2788702
reversal,Q7318167
trade,Q601401
account,Q231010
surpluses,-1
sufficient,Q875267
cover,Q235962
needed,-1
service,Q232576
debt,Q3196867
seemed,-1
target,Q230479
repeat,Q1206944
monthly,Q45920709
averaging,Q202785
exports,Q182722
imports,Q62955
increased,-1
avoid,Q4829132
domestic,Q5290146
surplus,Q3505433
plunged,-1
october,Q124
since,Q7521888
averaged,Q19033
agency,Q232353
reports,Q10870555
ships,Q11446
waiting,Q534423
panama,Q804
canal,Q12284
commission,Q1780244
government,Q7188
daily,Q787571
report,Q10870555
backlog,Q4839689
enter,Q161935
next,Q228728
days,Q573
transit,Q228647
end,Q16220058
day,Q573
average,Q202785
tomorrow,Q397392
super,Q257806
tankers,Q1050314
regular,Q408620
vessels,Q6661273
north,Q659
hrs,Q452161
south,Q667
america,Q30
mortgage,Q1210094
guaranteed,Q3778255
fund,Q16831479
making,-1
exchangeable,Q5419609
unit,Q1487317
income,Q1527264
gains,Q424707
emhart,-1
cites,-1
prospects,Q7250846
reporting,Q7314162
january,Q108
balance,Q1911050
remain,Q26827887
good,Q15290
orders,Q21502246
harris,Q226548
graphics,Q1027879
subsidiary,Q658255
june,Q120
run,Q234328
pace,Q1115199
rose,Q34687
corresponding,-1
basis,Q406248
running,Q105674
beginning,Q4880495
old,Q359803
division,Q16278392
recent,Q25445
introductions,Q1387137
decline,Q5249503
dollar,Q14083
development,Q340724
engineering,Q11023
expenditures,Q240673
allocated,-1
compared,-1
revenues,Q850210
gulf,Q1322134
barge,Q16518
freight,Q319224
call,Q407264
firmed,-1
steady,Q7605195
vessel,Q6661273
increasing,Q194404
demand,Q4402708
barges,Q16518
supply,Q11827939
dealers,Q3053309
traded,Q601401
st,Q224763
louis,Q30281
merchants,Q215536
exchange,Q416020
session,Q362310
versus,Q295587
yesterday,Q240734
quotes,Q1603129
included,-1
week,Q23387
illinois,Q1204
river,Q4022
tariff,Q52389
ex,Q230053
quoted,Q206287
percentage,Q11229
points,Q99751643
mississippi,Q1494
ohio,Q1397
station,Q34700
comparison,Q1720648
level,Q251898
memphis,Q4376240
cairo,Q85
sept,Q3479072
nov,Q345171
dec,Q9203096
section,Q189171
applied,-1
sells,-1
units,Q1487317
technologies,Q11016
pipeline,Q250434
added,-1
federal,Q407326
taxes,Q8161
owed,-1
transaction,Q279242
offset,Q358568
farmers,Q131512
group,Q654302
electric,Q12725
power,Q398902
latest,-1
virginia,Q1370
territory,Q183366
dominion,Q223832
resources,Q1554231
buys,Q5003393
undisclosed,Q601604
amount,Q309314
based,Q5951242
custom,Q362023
pressure,Q39552
process,Q229289
energy,Q11379
petrochemical,Q1364904
industries,Q268592
manufacture,Q187939
oil,Q42962
gas,Q11432
utility,Q466707
pulp,Q226601
paper,Q11472
marine,Q975041
eight,Q3600097
atico,-1
financial,Q43015
amounts,-1
formerly,-1
peninsula,Q34763
savings,Q200535
loan,Q189539
association,Q2864132
pan,Q5384111
banks,Q22687
ncnb,-1
merger,Q731112
philippine,Q928
long,Q298021
distance,Q126017
primary,Q408429
pesos,Q244696
diluted,Q16033661
name,Q82799
telephone,Q11035
figures,Q227737
declaration,Q351631
liberty,Q2979
star,Q523
initial,Q378408
combustion,Q133235
csp,Q250313
tonka,Q1645436
increases,-1
qtrly,-1
divs,-1
ivaco,-1
secondary,Q1180507
offering,Q1179254
investment,Q4290
firms,Q4830453
cut,Q20659690
cyclops,Q128430
cyl,Q55554050
stake,Q2082178
affiliated,Q382466
york,Q42462
lowered,-1
filing,Q1196501
securities,Q169489
led,Q25504
mutual,Q445215
feb,Q407056
coradian,-1
cent,Q224006
meridian,Q1176029
bancorp,Q2512624
american,Q463180
express,Q247139
axp,Q300260
seen,Q2265411
possible,Q7233418
remained,-1
rumors,Q878352
spinoff,Q283308
shearson,Q17110160
lehman,Q410966
brothers,Q10861465
considering,Q5163182
move,Q297869
got,Q358535
lift,Q340812
rumor,Q878352
partially,-1
public,Q2388316
command,Q10781077
thereby,-1
boosting,Q446964
talk,Q202069
services,Q232576
firm,Q783794
boost,Q446964
closed,Q3069019
heavy,Q3784040
volume,Q39297
comment,Q10953930
activity,Q241636
comments,Q10953930
tuesday,Q127
helped,-1
fuel,Q42501
changes,Q525737
undervalued,-1
fully,Q70137
reflect,Q120429
according,-1
chief,Q412365
officer,Q61022630
lane,Q3222002
position,Q299964
created,Q63244734
positions,Q7233203
chairmen,Q140686
divisions,Q16278392
speculated,Q2352926
partial,Q1174915
make,Q401277
sense,Q173253
contrary,Q4381774
however,Q38638480
center,Q62207
contributing,-1
highly,Q397088
unlikely,Q37947699
going,Q1229901
sell,Q1247670
analytical,Q1180238
questioned,Q3207383
profitable,Q26911
several,Q16868437
need,Q190258
might,Q6844070
reason,Q178354
asset,Q46737
others,Q3988615
believe,Q396128
well,Q43483
considered,-1
option,Q397164
spinning,Q229949
suggests,Q690194
selling,Q194189
larry,Q18094568
eckenfelder,-1
prudential,Q421296
bache,Q236553
believes,-1
past,Q192630
big,Q299427
premium,Q343238
place,Q1794067
book,Q571
worth,Q346903
bilion,Q41650356
terms,Q3984436
use,Q95377384
plans,Q1371819
expand,Q253338
enormous,Q98072198
internal,Q6047630
takes,Q1124733
realistic,Q261993
enhance,Q5378767
ability,Q20655516
kinds,Q1178576
road,Q34442
f,Q9765
hutton,Q362426
michael,Q4927524
lewis,Q1775176
outlined,Q4383565
fact,Q188572
investing,Q4290
heavily,Q3784040
goes,Q81220
preclude,Q17135100
divestitures,Q1200733
along,Q4734437
way,Q414987
reduced,Q225229
exposure,Q210027
brokerage,Q160117
travel,Q61509
related,Q1434127
true,Q445415
water,Q283
mark,Q6016699
lesser,Q21449105
components,Q226635
multiple,Q3327686
constitute,-1
contributed,-1
usa,Q30
covers,Q235962
november,Q125
began,Q4937362
fluctuate,-1
minimal,Q445010
steel,Q11427
particularly,-1
canadian,Q1196645
result,Q2995644
subsequent,Q16869037
quarters,Q1437134
show,Q2934264
substantial,Q16218846
levels,Q251898
reach,Q526688
previous,-1
continuing,-1
grain,Q2995529
fall,Q1314
totaled,Q315971
cars,Q1420
railroads,Q3565868
mill,Q4761205
totalled,Q5551716
hong,Q1217912
kong,Q404184
wrather,Q8037623
industrial,Q404367
pacific,Q98
raised,Q7285081
principally,Q423044
owned,Q4896982
brierley,Q301507
investments,Q4290
publicly,Q2388316
zealand,Q25535
bought,Q12103677
disclosed,Q15125699
purposes,-1
coleco,Q954124
dls,-1
diamond,Q5283
shamrock,Q1247368
dia,Q226771
cuts,Q20659690
crude,Q5189833
contract,Q93288
barrel,Q10289
reduction,Q225229
brings,-1
posted,-1
texas,Q1439
intermediate,Q168341
made,Q410840
light,Q9128
weak,Q15883891
citing,Q1713
markets,Q1277907
wholly,-1
emerson,Q224022
receive,Q347500
northern,Q418800
telecom,Q415898
proposes,-1
profitability,Q26911
prepared,-1
swing,Q224088
primarily,-1
steep,Q7605896
changed,Q226455
single,Q347210
diversified,Q355963
organization,Q43229
enable,Q25193637
toy,Q11422
fair,Q288514
vice,Q1411242
morton,Q231734
projected,Q7249430
reasonable,Q95512396
subsidiaries,Q658255
engaged,Q157512
subject,Q2202182
post,Q367026
closing,Q5135431
adjustments,-1
explain,Q7958
robeson,Q523061
miami,Q8652
fundamental,Q411820
study,Q340383
afterwards,Q162037
carl,Q1184248
singer,Q27939
recently,Q1206814
elected,Q26902512
gao,Q188904
likely,Q6547275
certs,Q5065284
costly,Q21456286
certificates,Q19689241
shortly,-1
accounting,Q4116214
office,Q12823105
cost,Q240673
outlays,-1
administration,Q304157
industry,-1
sources,Q224772
analysis,Q217602
obtained,-1
agriculture,Q11451
department,Q11681054
budget,Q41263
official,Q599151
reuters,Q130879
preparing,-1
certificate,Q19689241
specific,Q7574974
request,Q1906515
sen,Q360083
r,Q9852
c,Q9820
former,Q4372167
senate,Q2570643
committee,Q865588
focus,Q218275
released,Q7310942
source,Q224772
depends,Q5260607
program,Q768396
usda,Q501542
encourage,Q1137632
cause,Q179289
determined,Q1201165
caused,Q179289
decrease,Q5249659
effect,Q252022
less,Q414315
suggest,Q690194
expanded,Q253338
negative,Q978465
fire,Q3196
weigh,Q25288
agricultural,Q11451
expansion,Q253338
remains,Q655209
firmly,-1
committed,Q1115673
weeks,Q23387
city,Q515
national,Q411842
page,Q224749
petroleum,Q22656
writedowns,Q5551716
losses,Q1692143
idb,-1
communications,Q11024
ten,Q3841617
opec,Q7795
meet,Q6807738
forced,Q16266633
production,Q663143
cutting,Q196751
agreement,Q342425
slide,Q365096
movement,Q3326911
never,Q10336505
easy,Q347522
thought,Q9420
emergency,Q5070802
sort,Q347599
problems,Q730920
daniel,Q14516546
director,Q3708947
cambridge,Q350
associates,Q19671913
problem,Q730920
faces,Q37017
excess,Q342787
world,Q16502
issue,Q1247982
must,Q278818
paul,Q225177
salomon,Q867643
optimism,Q485446
keep,Q91165
given,Q5565817
address,Q319608
soon,Q7562676
regain,Q1536095
initiative,Q660064
uncertain,Q7882487
even,Q1381828
bpd,Q437587
quota,Q970793
set,Q235028
buyers,Q1308239
cannot,Q1624317
quotas,Q970793
differentials,Q241623
regional,Q82794
manager,Q2920921
spoke,Q845671
condition,Q417488
named,Q6961550
trying,Q92775356
david,Q41370
editor,Q194105
mideast,Q7204
immediately,Q6004788
optimistic,Q485446
principal,Q423044
take,Q1124733
advantage,Q1903435
winter,Q1311
anything,Q1206863
output,Q2042052
critical,Q3697794
hold,Q1624316
together,Q298274
pact,Q321839
come,Q1113766
back,Q133279
dillard,Q454212
harvard,Q13371
university,Q3918
environment,Q1572519
policy,Q1156854
rising,Q411996
prompted,-1
excesses,-1
clearly,Q5138245
closer,Q1102528
seeing,Q7445743
characterized,-1
cheating,Q19
interview,Q178651
cenergy,-1
properties,Q1400881
following,Q685817
reserves,Q253054
fell,Q5421955
barrels,Q10289
cubic,Q449623
feet,Q15807
bcf,-1
produce,Q1913301
recover,Q448645
declares,-1
approval,Q4781747
repurchase,Q169357
significant,Q2285199
portion,Q7231827
convertible,Q55989
subordinated,Q1319775
debentures,Q1378829
redeem,Q125331
educational,Q8434
drexel,Q347815
data,Q42848
senior,Q358500
burnham,Q295523
lambert,Q227718
thomas,Q228981
los,Q293413
angeles,Q4762614
retired,Q946865
professor,Q121594
seek,Q7445771
nova,Q6458
wins,Q1181245
husky,Q3244349
hyo,Q614263
deal,Q408711
owns,-1
received,-1
union,Q227388
faith,Q5410500
holding,Q5879690
minister,Q346786
michel,Q408442
cote,Q1136576
ruled,Q7378986
non,Q403599
ruling,Q230037
key,Q242186
completing,Q178518
equally,-1
hutchison,Q237492
whampoa,Q31486
become,Q1758512
private,Q344867
li,Q207919
shing,Q7497426
imperial,Q226342
excludes,-1
suffield,Q403098
gets,Q1520087
fed,Q250846
reserve,Q253054
coastal,Q93352
portland,Q182972
still,Q1436130
needs,Q190258
maine,Q724
banking,Q22687
afg,Q250298
camco,Q5008643
santa,Q315796
realty,Q10494269
enterprises,Q218846
liquid,Q11435
air,Q3230
marshall,Q217983
details,Q1184933
mayfair,Q124184
versatile,Q7922640
agreed,Q342425
principle,Q211364
alberta,Q1951
ontario,Q1904
manufactures,Q187939
equipment,Q779859
groupe,Q1040374
specializes,-1
memotec,-1
texaco,Q775060
bbl,Q178506
par,Q230125
grade,Q1541208
lowers,-1
postings,Q2918584
benchmark,Q577395
edmonton,Q2096
swann,Q970996
hills,Q54050
sweet,Q460453
marathon,Q40244
reduces,Q225229
grades,Q1541208
sour,Q124794
louisiana,Q1588
george,Q39769
circuit,Q474704
maker,Q6739267
boards,Q268146
pretax,Q5413454
mail,Q49845
rd,Q294383
adjusted,Q41441174
july,Q121
discontinued,-1
ho,Q224477
trust,Q226283
independent,Q1223303
engineers,Q81096
estimates,Q16975090
proved,Q30762
discounted,Q10998070
present,Q193168
estimate,Q791801
money,Q1368
distributions,Q225802
unitholders,-1
remainder,Q846677
restaurants,Q11707
recurring,Q7303272
charges,Q77076
underperforming,-1
avery,Q226793
register,Q217425
proceeds,Q850210
repay,-1
finance,Q43015
state,Q15622206
bodies,Q3641523
lending,Q189539
institutions,Q178706
nations,Q6266
paris,Q90
ministry,Q395372
revision,Q341284
bureau,Q409814
law,Q7748
parliament,Q35749
minimum,Q845060
channels,Q425520
funds,Q6055890
works,Q420817
uses,Q95377384
people,Q2472587
corporations,Q167037
local,Q343930
usually,Q367293
tandem,Q1752317
term,Q3984436
prime,Q49008
impossible,Q399150
follow,Q5464688
abolish,Q2266109
introduce,Q1387137
resolve,Q7315710
stimulate,Q4114622
allowed,-1
bankers,Q22687
low,Q231459
suggested,Q690194
reached,Q7300209
depositors,Q10948641
using,Q95377384
posts,Q7234493
telecommunications,Q418
health,Q12147
determine,Q5265697
setting,Q351657
deposit,Q764844
coupon,Q11034548
bonds,Q683365
minus,Q747083
choice,Q1775867
italian,Q233810
treasury,Q10756188
issues,Q1247982
maturing,-1
point,Q99751643
september,Q123
kuwait,Q817
says,Q512542
talks,Q202069
remarks,-1
published,Q3972943
review,Q265158
policies,Q1156854
weakness,Q633403
sheikh,Q185166
ali,Q39619
al,Q208534
khalifa,Q30102470
sabah,Q179029
qabas,-1
saying,Q3026787
none,Q395712
members,Q7602551
asked,Q189756
denied,Q1343202
pumping,Q967914
self,Q3236990
imposed,-1
limits,Q246639
nation,Q6266
organisation,Q43229
traders,Q3536375
producing,Q27887
ceiling,Q221706
geneva,Q71
arab,Q35323
emirates,Q1163914
much,Q1216681
smaller,Q7543639
producer,Q27887
ecuador,Q736
among,-1
countries,Q6256
suffering,Q5780945
difficulties,Q2257515
marketing,Q39809
means,Q1216688
unusually,-1
referring,Q121769
apparently,Q19872415
qatar,Q846
resisting,Q22114637
restored,Q7316242
pegged,Q517199
dropped,Q20998353
lowest,Q231459
almost,Q840148
delivered,Q2097626
challenge,Q6554155
charging,Q5074301
lost,Q232244
elaborate,-1
refining,Q682483
facilities,Q346146
network,Q20830730
reaffirmed,-1
planned,Q309100
postponed,Q22084320
start,Q257117
body,Q615806
deputy,Q1191967
fernando,Q18115751
santos,Q674129
alvite,Q445027
wednesday,Q128
burdened,-1
wanted,Q231372
pricing,Q2516951
apparent,Q4780922
reference,Q121769
faced,-1
later,Q6495511
indonesia,Q252
economic,Q159810
appears,Q306449
political,Q7163
measures,Q11052334
deregulate,Q902410
protected,Q2251595
embassy,Q213283
launched,Q596866
series,Q2917506
outside,Q410653
sector,Q227911
asian,Q4806537
member,Q7602551
commodity,Q317088
severely,Q7457910
hit,Q346448
devalue,Q220788
suharto,Q44819
divided,Q1226939
direction,Q344762
lead,Q708
regard,Q16869132
deregulation,Q902410
reviews,Q265158
general,Q83460
many,Q412632
advisers,Q2994387
recommending,-1
pressures,Q39552
strongly,-1
import,Q62955
welcomed,-1
steps,Q594799
though,-1
crucial,Q5189768
areas,Q11500
plastics,Q11474
virtual,Q3436572
monopolies,Q43637
restrictions,Q343228
calendar,Q12132
zero,Q204
contracted,Q403082
notes,Q2002118
east,Q684
asia,Q48
population,Q2625603
million,Q38526
facing,Q5428607
elections,Q40231
little,Q1865594
hope,Q190507
swift,Q26617
indications,Q451942
positive,Q293303
exceeding,-1
continues,-1
suffer,Q5780945
sharp,Q227924
export,Q182722
coupled,Q28127053
excessive,Q342787
plant,Q756
capacity,Q215044
real,Q1579126
declines,Q5249503
construction,Q385378
states,Q15622206
continuation,Q1128903
reforms,Q900406
get,Q406629
support,Q340406
partly,-1
maintain,Q1043452
momentum,Q41273
saudi,Q3950871
riyal,Q5483798
interbank,Q2835558
reluctant,-1
uncertainty,Q13649246
succeed,Q15808312
halting,-1
producers,Q27887
difficulty,Q2257515
traditional,Q82821
sunday,Q132
european,Q11205140
weekend,Q30722989
lack,Q1799745
spot,Q250827
put,Q418473
ranging,Q1643652
unchanged,-1
respectively,-1
firmer,-1
recovering,Q28232967
deficit,Q2682765
riyals,Q5483798
shortfall,-1
outlining,Q4383565
abdul,Q19818134
aziz,Q7311793
bin,Q11191244
spend,Q192270
expenditure,Q13516686
revenue,Q850210
failed,Q1121708
surrounding,Q16968816
decided,Q973405
limit,Q246639
allocations,Q343527
urged,-1
heads,Q23640
departments,Q11681054
covered,Q235962
taken,Q970673
order,Q2029226
relieve,Q226168
burden,Q354825
placed,-1
projects,Q170584
housing,Q1247867
buildings,Q41176
social,Q345367
education,Q8434
transport,Q7590
electricity,Q12725
figure,Q227737
revealed,Q2146747
defence,Q10264721
security,Q2526135
expectations,Q74013814
signs,Q1901430
regarding,-1
trends,Q341344
foremost,Q1437132
determination,Q21168708
protect,Q2251595
coming,Q1113766
assigned,-1
bond,Q683365
lag,Q1347898
behind,Q4880787
grown,Q233646
reasonably,-1
decade,Q39911
large,Q1805910
extent,Q5421978
henry,Q3477322
azzam,Q18819868
investors,Q557880
vehicles,Q42889
estate,Q400001
accounts,Q231010
precious,Q416973
metals,Q11426
greater,Q5600416
instruments,Q225829
disclosure,Q11089591
requirements,Q774228
reviewed,Q65066798
categories,Q224414
short,Q413157
region,Q82794
floated,-1
underwriting,Q1898080
nevertheless,Q16877979
syndicated,Q397605
yet,Q397870
establish,Q65045905
exchanges,Q416020
governments,Q7188
actively,-1
pursuing,-1
ways,Q414987
develop,Q5266655
recession,Q176494
stemming,Q1416732
addition,Q32043
family,Q8436
standards,Q1640121
depth,Q181591
hoping,Q1346610
eventual,Q27792584
recovery,Q448645
absence,Q332237
proper,Q3407573
authorities,Q3630421
reluctance,Q863390
adopt,Q180472
hampered,-1
called,Q407264
defined,Q101072
laws,Q7748
governing,Q1553864
incorporation,Q346330
joint,Q9644
flotation,Q1163507
citizens,Q42138
cooperation,Q380962
council,Q4358176
gcc,Q235819
bahrain,Q398
oman,Q842
arabia,Q31945
uae,Q878
allowing,-1
locally,Q1868414
introduction,Q1387137
bill,Q257022
offerings,Q7079088
regulations,Q428148
denominated,Q251998
issued,-1
picked,-1
establishment,Q65045905
formal,Q722617
appear,Q4780983
imminent,Q6005193
commitment,Q5152896
arabian,Q31945
hisham,Q128332
nazer,Q6983373
reiterated,-1
accord,Q339410
stabilise,Q344864
press,Q2108886
spa,Q1341387
free,Q231766
adhering,-1
hemisphere,Q652249
season,Q24384
main,Q265180
architect,Q42973
around,Q18229839
followed,Q5464688
turmoil,Q7855605
saw,Q125356
slump,Q6133020
briefly,-1
currently,Q5195093
adherence,Q88075159
shown,Q7503282
contacts,Q23797
showed,-1
stick,Q12299433
jamaica,Q766
rilwanu,-1
lukman,Q12795333
nigerian,Q16155102
aware,Q4338318
forces,Q11402
satisfied,Q7426256
fundamentals,Q411820
exist,Q5420343
zambia,Q953
retain,Q7276393
auction,Q177923
kaunda,Q105480
despite,Q5264996
suspension,Q233293
weekly,Q55815665
auctions,Q177923
away,Q400960
monetary,Q1368
hoped,-1
backed,-1
fresh,Q441427
aid,Q2827815
dismissed,Q5282362
central,Q162100
statements,Q1456029
used,Q5793511
bidders,-1
fix,Q436305
shortage,Q1337691
suspended,Q233293
kwacha,Q1122658
rapid,Q695793
devaluation,Q220788
fluctuations,Q5462624
planning,Q309100
arrears,Q2406150
paying,-1
successful,Q15808312
replaced,Q396788
nippon,Q17
affiliates,Q1416102
spokesmen,Q17221
decide,Q16774901
yen,Q8146
appreciation,Q10855101
spokesman,Q17221
employs,-1
workers,Q13440398
forecast,Q2234476
interim,Q4895105
customs,Q182290
cleared,Q400623
jumped,Q611862
sharply,-1
cif,Q2972358
liftings,Q6545685
drop,Q404877
rallied,-1
neutral,Q257337
zone,Q219877
floating,Q17128870
storage,Q13108060
generally,-1
restraint,Q2995534
scheme,Q4172608
jump,Q611862
appeared,Q4780983
partners,Q246166
aramco,Q679322
exxon,Q4781944
xon,Q7554297
mobil,Q3088656
mob,Q411888
tx,Q235226
chevron,Q287750
chv,Q5118432
signed,Q1193832
test,Q224615
traditionally,Q82821
fallen,Q253162
refinery,Q1867977
throughput,Q1383412
refineries,Q1867977
ntt,-1
forecasts,Q7216332
telegraph,Q721587
rise,Q413593
submitted,Q396568
competition,Q476300
field,Q257765
introduced,Q1387137
factors,Q1393757
japanese,Q346080
china,Q148
port,Q44782
tonnes,Q191118
tonne,Q191118
news,Q38926
yuan,Q226153
chinese,Q18706971
foundation,Q227744
work,Q188561
able,Q287354
handle,Q200266
containers,Q987767
coke,Q292816
metal,Q11426
mineral,Q7946
mining,Q44497
shv,-1
ic,Q223987
cheung,Q5094229
hk,Q8646
h,Q9914
k,Q9922
final,Q235656
cents,Q224006
excluded,Q16903610
bonus,Q409597
books,Q571
close,Q420328
wallenbergs,-1
fight,Q650711
swedish,Q298714
match,Q37507
sweden,Q34
wallenberg,Q2113442
fought,-1
london,Q84
financier,Q557880
erik,Q12788459
secure,Q7444820
core,Q232469
empire,Q48349
ab,Q211141
